"No.","Time","Source","Destination","Protocol","Length","Info"
"125","12.009894","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"126","12.042646","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"127","12.070491","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"128","12.108725","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"129","12.318800","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"130","12.357569","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"131","12.566840","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"132","12.604385","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"133","12.770321","192.168.0.6","142.251.134.78","UDP","1287","49711  >  443 Len=1245"
"134","12.770402","192.168.0.6","142.251.134.78","UDP","393","49711  >  443 Len=351"
"135","12.799305","142.251.134.78","192.168.0.6","UDP","75","443  >  49711 Len=33"
"136","12.814673","192.168.0.6","142.251.134.78","UDP","75","49711  >  443 Len=33"
"137","12.845691","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"138","12.878543","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"139","13.001914","142.251.134.78","192.168.0.6","UDP","443","443  >  49711 Len=401"
"140","13.002406","192.168.0.6","142.251.134.78","UDP","83","49711  >  443 Len=41"
"141","13.003153","142.251.134.78","192.168.0.6","UDP","78","443  >  49711 Len=36"
"142","13.003153","142.251.134.78","192.168.0.6","UDP","133","443  >  49711 Len=91"
"143","13.011363","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"144","13.011456","192.168.0.6","142.251.134.78","UDP","75","49711  >  443 Len=33"
"145","13.026325","142.251.134.78","192.168.0.6","UDP","68","443  >  49711 Len=26"
"146","13.048014","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"147","13.352328","192.168.0.6","155.133.255.164","TLSv1.2","108","Application Data"
"148","13.425896","155.133.255.164","192.168.0.6","TCP","56","27022  >  56013 [ACK] Seq=1 Ack=55 Win=16385 Len=0"
"149","13.862804","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"150","13.899770","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"151","13.946009","192.168.0.6","35.186.224.45","TLSv1.2","97","Application Data"
"152","13.964370","35.186.224.45","192.168.0.6","TCP","56","443  >  55982 [ACK] Seq=1 Ack=44 Win=1048 Len=0"
"153","14.088850","35.186.224.45","192.168.0.6","TLSv1.2","94","Application Data"
"154","14.139121","192.168.0.6","35.186.224.45","TCP","54","55982  >  443 [ACK] Seq=44 Ack=41 Win=252 Len=0"
"155","14.493320","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"156","14.509577","192.168.0.6","151.101.129.91","TLSv1.2","127","Application Data"
"157","14.509708","192.168.0.6","151.101.129.91","TLSv1.2","93","Application Data"
"158","14.516114","192.168.0.6","200.61.188.26","UDP","130","56505  >  19192 Len=88"
"159","14.516716","192.168.0.6","181.30.140.134","DNS","77","Standard query 0xdd8e A cdn.growthbook.io"
"160","14.527172","151.101.129.91","192.168.0.6","TCP","56","443  >  57680 [ACK] Seq=1 Ack=113 Win=303 Len=0"
"161","14.527172","151.101.129.91","192.168.0.6","TLSv1.2","93","Application Data"
"162","14.527172","151.101.129.91","192.168.0.6","TLSv1.2","153","Application Data"
"163","14.527172","151.101.129.91","192.168.0.6","TLSv1.2","107","Application Data"
"164","14.527172","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"165","14.527354","192.168.0.6","151.101.129.91","TCP","54","57680  >  443 [ACK] Seq=113 Ack=192 Win=255 Len=0"
"166","14.527918","192.168.0.6","151.101.129.91","TLSv1.2","89","Application Data"
"167","14.541421","151.101.129.91","192.168.0.6","TCP","56","443  >  57680 [ACK] Seq=192 Ack=148 Win=303 Len=0"
"168","14.547127","200.61.188.26","192.168.0.6","UDP","599","19192  >  56505 Len=557"
"169","14.551972","181.30.140.134","192.168.0.6","DNS","130","Standard query response 0xdd8e A cdn.growthbook.io CNAME n.sni.global.fastly.net A 151.101.217.91"
"170","15.500324","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"171","15.537980","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"172","15.784683","192.168.0.6","200.61.188.26","UDP","127","56505  >  19192 Len=85"
"173","15.785054","192.168.0.6","181.30.140.134","DNS","74","Standard query 0x663d A www.google.com"
"174","15.804655","181.30.140.134","192.168.0.6","DNS","90","Standard query response 0x663d A www.google.com A 142.251.129.132"
"175","15.804762","192.168.0.6","200.61.188.26","UDP","130","56505  >  19192 Len=88"
"176","15.805139","192.168.0.6","181.30.140.134","DNS","77","Standard query 0xa361 A music.youtube.com"
"177","15.809819","200.61.188.26","192.168.0.6","UDP","590","19192  >  56505 Len=548"
"178","15.811038","192.168.0.6","216.58.202.100","QUIC","1292","Initial, DCID=5b723565e2a9369a, PKN: 1, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PING, PING, PADDING, CRYPTO, PING, CRYPTO, PADDING"
"179","15.811157","192.168.0.6","216.58.202.100","QUIC","1292","Initial, DCID=5b723565e2a9369a, PKN: 2, CRYPTO"
"180","15.811302","192.168.0.6","216.58.202.100","QUIC","1292","Initial, DCID=5b723565e2a9369a, PKN: 3, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, PING, PING, PING"
"181","15.811484","192.168.0.6","216.58.202.100","QUIC","122","0-RTT, DCID=5b723565e2a9369a"
"182","15.811681","192.168.0.6","216.58.202.100","QUIC","1288","0-RTT, DCID=5b723565e2a9369a"
"183","15.811734","192.168.0.6","216.58.202.100","QUIC","1292","0-RTT, DCID=5b723565e2a9369a"
"184","15.811774","192.168.0.6","216.58.202.100","QUIC","356","0-RTT, DCID=5b723565e2a9369a"
"185","15.811803","192.168.0.6","216.58.202.100","QUIC","114","0-RTT, DCID=5b723565e2a9369a"
"186","15.832438","181.30.140.134","192.168.0.6","DNS","319","Standard query response 0xa361 A music.youtube.com CNAME youtube-ui.l.google.com A 142.251.134.78 A 142.251.134.14 A 172.217.172.110 A 142.251.129.142 A 172.217.173.238 A 216.58.202.110 A 142.250.79.78 A 216.58.202.78 A 172.217.172.78 A 142.251.133.206 A 142.250.79.110 A 142.250.79.142 A 142.251.133.238"
"187","15.839585","216.58.202.100","192.168.0.6","QUIC","82","Initial, SCID=fb723565e2a9369a, PKN: 1, ACK"
"188","15.839585","216.58.202.100","192.168.0.6","QUIC","82","Initial, SCID=fb723565e2a9369a, PKN: 2, ACK"
"189","15.839797","216.58.202.100","192.168.0.6","QUIC","1292","Initial, SCID=fb723565e2a9369a, PKN: 3, ACK, PADDING"
"190","15.839995","216.58.202.100","192.168.0.6","QUIC","1292","Initial, SCID=fb723565e2a9369a, PKN: 4, ACK, PADDING"
"191","15.840732","192.168.0.6","200.61.188.26","UDP","130","56505  >  19192 Len=88"
"192","15.855453","200.61.188.26","192.168.0.6","UDP","599","19192  >  56505 Len=557"
"193","15.857111","192.168.0.6","142.251.133.238","QUIC","1292","Initial, DCID=2d68adf86626c66d, PKN: 1, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING"
"194","15.857210","192.168.0.6","142.251.133.238","QUIC","1292","Initial, DCID=2d68adf86626c66d, PKN: 2, CRYPTO"
"195","15.857244","192.168.0.6","142.251.133.238","QUIC","1292","Initial, DCID=2d68adf86626c66d, PKN: 3, PING, CRYPTO, PING, CRYPTO, PADDING, PING, PING, PADDING, PING, CRYPTO, PADDING, PING, PING"
"196","15.857378","192.168.0.6","142.251.133.238","QUIC","119","0-RTT, DCID=2d68adf86626c66d"
"197","15.857650","192.168.0.6","142.251.133.238","QUIC","1288","0-RTT, DCID=2d68adf86626c66d"
"198","15.857685","192.168.0.6","142.251.133.238","QUIC","1292","0-RTT, DCID=2d68adf86626c66d"
"199","15.857717","192.168.0.6","142.251.133.238","QUIC","503","0-RTT, DCID=2d68adf86626c66d"
"200","15.857737","192.168.0.6","142.251.133.238","QUIC","141","0-RTT, DCID=2d68adf86626c66d"
"201","15.860646","200.61.188.26","192.168.0.6","UDP","599","19192  >  56505 Len=557"
"202","15.863079","216.58.202.100","192.168.0.6","QUIC","1292","Initial, SCID=fb723565e2a9369a, PKN: 5, CRYPTO, PADDING"
"203","15.863079","216.58.202.100","192.168.0.6","QUIC","341","Protected Payload (KP0)"
"204","15.863374","216.58.202.100","192.168.0.6","QUIC","993","Protected Payload (KP0)"
"205","15.863640","192.168.0.6","216.58.202.100","QUIC","120","Handshake, DCID=fb723565e2a9369a"
"206","15.863753","192.168.0.6","216.58.202.100","QUIC","73","Protected Payload (KP0), DCID=fb723565e2a9369a"
"207","15.863779","216.58.202.100","192.168.0.6","QUIC","114","Protected Payload (KP0)"
"208","15.863779","216.58.202.100","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"209","15.885083","142.251.133.238","192.168.0.6","QUIC","82","Initial, SCID=ed68adf86626c66d, PKN: 1, ACK"
"210","15.885083","142.251.133.238","192.168.0.6","QUIC","82","Initial, SCID=ed68adf86626c66d, PKN: 2, ACK"
"211","15.888355","142.251.133.238","192.168.0.6","QUIC","1292","Initial, SCID=ed68adf86626c66d, PKN: 3, ACK, PADDING"
"212","15.888486","142.251.133.238","192.168.0.6","QUIC","1292","Initial, SCID=ed68adf86626c66d, PKN: 4, ACK, PADDING"
"213","15.891853","216.58.202.100","192.168.0.6","QUIC","162","Protected Payload (KP0)"
"214","15.891853","216.58.202.100","192.168.0.6","QUIC","64","Protected Payload (KP0)"
"215","15.892252","192.168.0.6","216.58.202.100","QUIC","73","Protected Payload (KP0), DCID=fb723565e2a9369a"
"216","15.910548","142.251.133.238","192.168.0.6","QUIC","1292","Initial, SCID=ed68adf86626c66d, PKN: 5, CRYPTO, PADDING"
"217","15.910748","142.251.133.238","192.168.0.6","QUIC","346","Protected Payload (KP0)"
"218","15.910909","142.251.133.238","192.168.0.6","QUIC","988","Protected Payload (KP0)"
"219","15.911098","192.168.0.6","142.251.133.238","QUIC","120","Handshake, DCID=ed68adf86626c66d"
"220","15.911225","192.168.0.6","142.251.133.238","QUIC","73","Protected Payload (KP0), DCID=ed68adf86626c66d"
"221","15.911446","142.251.133.238","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"222","15.911446","142.251.133.238","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"223","15.911503","192.168.0.6","142.251.133.238","QUIC","1208","Protected Payload (KP0), DCID=ed68adf86626c66d"
"224","15.911680","192.168.0.6","142.251.133.238","QUIC","1132","Protected Payload (KP0), DCID=ed68adf86626c66d"
"225","15.919074","192.168.0.6","216.58.202.100","QUIC","74","Protected Payload (KP0), DCID=fb723565e2a9369a"
"226","15.937809","142.251.133.238","192.168.0.6","QUIC","162","Protected Payload (KP0)"
"227","15.937809","142.251.133.238","192.168.0.6","QUIC","64","Protected Payload (KP0)"
"228","15.938153","192.168.0.6","142.251.133.238","QUIC","74","Protected Payload (KP0), DCID=ed68adf86626c66d"
"229","15.939748","142.251.133.238","192.168.0.6","QUIC","71","Protected Payload (KP0)"
"230","15.939907","192.168.0.6","142.251.133.238","QUIC","73","Protected Payload (KP0), DCID=ed68adf86626c66d"
"231","15.940533","142.251.133.238","192.168.0.6","QUIC","71","Protected Payload (KP0)"
"232","15.965271","142.251.133.238","192.168.0.6","QUIC","1288","Protected Payload (KP0)"
"233","15.965271","142.251.133.238","192.168.0.6","QUIC","445","Protected Payload (KP0)"
"234","15.965271","142.251.133.238","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"235","15.965271","142.251.133.238","192.168.0.6","QUIC","229","Protected Payload (KP0)"
"236","15.965729","192.168.0.6","142.251.133.238","QUIC","73","Protected Payload (KP0), DCID=ed68adf86626c66d"
"237","15.965912","192.168.0.6","142.251.133.238","QUIC","77","Protected Payload (KP0), DCID=ed68adf86626c66d"
"238","15.995863","192.168.0.6","142.251.133.238","QUIC","74","Protected Payload (KP0), DCID=ed68adf86626c66d"
"239","16.021064","142.251.133.238","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"240","16.097656","142.251.133.238","192.168.0.6","QUIC","193","Protected Payload (KP0)"
"241","16.097956","192.168.0.6","216.58.202.100","QUIC","71","Protected Payload (KP0), DCID=fb723565e2a9369a"
"242","16.098876","142.251.133.238","192.168.0.6","QUIC","81","Protected Payload (KP0)"
"243","16.098981","142.251.133.238","192.168.0.6","QUIC","63","Protected Payload (KP0)"
"244","16.099042","192.168.0.6","142.251.133.238","QUIC","78","Protected Payload (KP0), DCID=ed68adf86626c66d"
"245","16.100183","142.251.133.238","192.168.0.6","QUIC","63","Protected Payload (KP0)"
"246","16.100309","192.168.0.6","142.251.133.238","QUIC","73","Protected Payload (KP0), DCID=ed68adf86626c66d"
"247","16.124654","216.58.202.100","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"248","16.151079","142.251.133.238","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"249","16.194027","216.58.202.100","192.168.0.6","QUIC","1288","Protected Payload (KP0)"
"250","16.194358","216.58.202.100","192.168.0.6","QUIC","1292","Protected Payload (KP0)"
"251","16.194636","192.168.0.6","216.58.202.100","QUIC","77","Protected Payload (KP0), DCID=fb723565e2a9369a"
"252","16.194853","216.58.202.100","192.168.0.6","QUIC","528","Protected Payload (KP0)"
"253","16.196306","216.58.202.100","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"254","16.196447","192.168.0.6","216.58.202.100","QUIC","73","Protected Payload (KP0), DCID=fb723565e2a9369a"
"255","16.197374","216.58.202.100","192.168.0.6","QUIC","150","Protected Payload (KP0)"
"256","16.227209","192.168.0.6","216.58.202.100","QUIC","74","Protected Payload (KP0), DCID=fb723565e2a9369a"
